cluster,states,type
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
3,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
3,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
3,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
3,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
3,AK,income
1,AK,income
2,AK,income
2,AK,income
3,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
2,AK,income
3,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
2,AK,income
2,AK,income
3,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
3,AK,income
1,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
3,AK,income
1,AK,income
1,AK,income
3,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
3,AK,income
0,AK,income
3,AK,income
1,AK,income
3,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
3,AK,income
1,AK,income
3,AK,income
1,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
1,AK,income
3,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
2,AK,income
0,AK,income
3,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
3,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
3,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
3,AK,income
0,AK,income
2,AK,income
1,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
3,AK,income
3,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
2,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
3,AK,income
2,AK,income
2,AK,income
3,AK,income
3,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
3,AK,income
2,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
3,AK,income
1,AK,income
3,AK,income
0,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
3,AK,income
0,AK,income
1,AK,income
2,AK,income
3,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
3,AK,income
1,AK,income
3,AK,income
0,AK,income
2,AK,income
3,AK,income
1,AK,income
2,AK,income
0,AK,income
3,AK,income
2,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
3,AK,income
3,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
2,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
3,AK,income
0,AK,income
2,AK,income
1,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
3,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
1,AK,income
1,AK,income
3,AK,income
2,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
1,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
2,AK,income
1,AK,income
3,AK,income
3,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
3,AK,income
3,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
2,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
1,AK,income
0,AK,income
1,AK,income
2,AK,income
1,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
2,AK,income
2,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
3,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
2,AK,income
0,AK,income
3,AK,income
0,AK,income
1,AK,income
2,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
0,AK,income
2,AK,income
2,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
3,AK,income
0,AK,income
2,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
0,AK,income
1,AK,income
1,AK,income
1,AK,income
0,AK,income
1,AK,income
1,AK,income
0,AK,income
3,AK,income
0,AK,income
3,AK,income
1,AK,income
0,AK,income
3,AK,income
